Input phrase,Similarity scores
Previous users not cleaning up after themselves,"[0.6348338723182678, 0.6238512396812439, 0.6851584315299988, 0.6281718015670776, 0.7317173480987549, 0.7022034525871277, 0.6406343579292297, 0.7003125548362732, 0.6469643115997314, 0.7091785073280334, 0.6641682982444763]"
Inadequate trash removal,"[0.628812849521637, 0.6169725656509399, 0.6690297722816467, 0.6475446820259094, 0.6996129155158997, 0.6536548733711243, 0.6175262928009033, 0.7579783797264099, 0.6569451689720154, 0.761768639087677, 0.607105016708374]"
Misplaced hand tools,"[0.6899151802062988, 0.7362532019615173, 0.6919333338737488, 0.66781085729599, 0.7761121988296509, 0.702530026435852, 0.6970226764678955, 0.7098665237426758, 0.7844293713569641, 0.6868759393692017, 0.6189927458763123]"
Safety issues,"[0.645343005657196, 0.6574703454971313, 0.6945459246635437, 0.7346838116645813, 0.6953941583633423, 0.6783753633499146, 0.7043117880821228, 0.6647562980651855, 0.6461758613586426, 0.6795739531517029, 0.6664398312568665]"
Trash bag wripped,"[0.6586856245994568, 0.6106563210487366, 0.672382116317749, 0.6633927822113037, 0.7437458038330078, 0.7126526236534119, 0.6904677152633667, 0.740635335445404, 0.6555678248405457, 0.8727458119392395, 0.6325024366378784]"
Had to throw away small scrap wood,"[0.6990344524383545, 0.6781762838363647, 0.7085847854614258, 0.7236248850822449, 0.7621318101882935, 0.7710450291633606, 0.6936543583869934, 0.9060891270637512, 0.7358472943305969, 0.7460100054740906, 0.6887485384941101]"
Dirty work area,"[0.6726464629173279, 0.6752533912658691, 0.666612982749939, 0.7008804082870483, 0.6889334917068481, 0.7518112659454346, 0.7005851864814758, 0.6952488422393799, 0.7129005193710327, 0.6852186918258667, 0.6470173001289368]"
Accidentally switching off the machine,"[0.6930267214775085, 0.6663520932197571, 0.649304211139679, 0.6772620677947998, 0.711157500743866, 0.7082450985908508, 0.7650029063224792, 0.6581588983535767, 0.6924394369125366, 0.7158739566802979, 0.6691401600837708]"
Putting their scrape away,"[0.6657341718673706, 0.6609706282615662, 0.6524947285652161, 0.6869843602180481, 0.7439148426055908, 0.6865089535713196, 0.6868637204170227, 0.7218917608261108, 0.6628699898719788, 0.6844152212142944, 0.6493068933486938]"
Drill to big,"[0.7377744317054749, 0.7532469034194946, 0.6703007221221924, 0.668234646320343, 0.6663060784339905, 0.6654005646705627, 0.7230023145675659, 0.6282269954681396, 0.771949827671051, 0.6249721050262451, 0.6277981996536255]"
Finding a clamp since they are never put away,"[0.6792287230491638, 0.6332924365997314, 0.6329134702682495, 0.6697796583175659, 0.8709466457366943, 0.6350082755088806, 0.6587429642677307, 0.6968461871147156, 0.6953257918357849, 0.6545096635818481, 0.6180601716041565]"
someone walked behind them ,"[0.663948655128479, 0.6503492593765259, 0.642184853553772, 0.6715683341026306, 0.7279984354972839, 0.6889024972915649, 0.7489129304885864, 0.6599248647689819, 0.7082623839378357, 0.7204076051712036, 0.6749946475028992]"
lathe was too tight,"[0.9045702815055847, 0.7219125032424927, 0.6866638660430908, 0.7006831169128418, 0.7124607563018799, 0.7758632302284241, 0.8060370683670044, 0.673244833946228, 0.6838310956954956, 0.6264919638633728, 0.6319204568862915]"
meiter saw was too high ,"[0.72222501039505, 0.7068979740142822, 0.6588408946990967, 0.7980313897132874, 0.7118478417396545, 0.7249777317047119, 0.7182536721229553, 0.6991361379623413, 0.6763166189193726, 0.6628303527832031, 0.6556577682495117]"
The saw was too tall ,"[0.7335231304168701, 0.7070474624633789, 0.6933022737503052, 0.8303328156471252, 0.7242962121963501, 0.7317665815353394, 0.7270748615264893, 0.7210054397583008, 0.6844659447669983, 0.6915601491928101, 0.6530569195747375]"
There was a rip in the trash bag ,"[0.6877760887145996, 0.6461422443389893, 0.6927031874656677, 0.6694046258926392, 0.7518616318702698, 0.7168897986412048, 0.7236122488975525, 0.7977798581123352, 0.6756680607795715, 0.8934309482574463, 0.6664417386054993]"
Had to take the trash out ,"[0.6762115359306335, 0.6333481669425964, 0.6885420083999634, 0.6613256335258484, 0.7685439586639404, 0.7069522142410278, 0.6717966794967651, 0.801987886428833, 0.6991373896598816, 0.8358850479125977, 0.6822671890258789]"
Unusable scrap had to move to the garbage  ,"[0.6644520163536072, 0.6348490118980408, 0.696876585483551, 0.6621053814888, 0.7549569606781006, 0.7231398224830627, 0.6729204058647156, 0.8339612483978271, 0.6662687659263611, 0.8157545328140259, 0.6733095645904541]"
Glue had to set for 24hours ,"[0.6907591223716736, 0.6858315467834473, 0.7004889845848083, 0.6489558815956116, 0.7066732048988342, 0.6961382627487183, 0.6641681790351868, 0.6511639356613159, 0.6632155179977417, 0.6195018291473389, 0.8342024683952332]"
The only drill out was hard to control/too big ,"[0.7802504301071167, 0.8103699088096619, 0.7439232468605042, 0.7042480707168579, 0.7133621573448181, 0.690800130367279, 0.7355605959892273, 0.7041457295417786, 0.7549747824668884, 0.6414729952812195, 0.6328694224357605]"
Someone tried to sneak by and they hit the stop button ,"[0.6790286302566528, 0.6702132821083069, 0.6377585530281067, 0.6549119353294373, 0.7527711391448975, 0.6468125581741333, 0.816594123840332, 0.6614965200424194, 0.7029976844787598, 0.7055630683898926, 0.6719129681587219]"
The miter saw was uncomfortable to use because of the height of the table ,"[0.705412745475769, 0.6846720576286316, 0.6993791460990906, 0.9431328773498535, 0.701448917388916, 0.7285357117652893, 0.7373523712158203, 0.709632396697998, 0.6819941401481628, 0.6667824983596802, 0.6414375305175781]"
The trash bag was ripped ,"[0.678173840045929, 0.6268853545188904, 0.6895110607147217, 0.6643824577331543, 0.7460009455680847, 0.7149248123168945, 0.7000429034233093, 0.7846266031265259, 0.662491500377655, 0.9154984354972839, 0.6502216458320618]"
The 12V drills were not accessible ,"[0.7093318104743958, 0.8172387480735779, 0.7013210654258728, 0.6701735854148865, 0.7060703039169312, 0.6738002896308899, 0.716717541217804, 0.6531431078910828, 0.7974133491516113, 0.6371400952339172, 0.6680842638015747]"
She couldn�t find a clamp in the correct spot,"[0.7539650797843933, 0.67950439453125, 0.6829158663749695, 0.6988776922225952, 0.8442750573158264, 0.6721779108047485, 0.7216599583625793, 0.6946640014648438, 0.7245876789093018, 0.6955609321594238, 0.6629486680030823]"
The gloves were the wrong size ,"[0.70234215259552, 0.7526677250862122, 0.7955403923988342, 0.6794488430023193, 0.691159725189209, 0.659465491771698, 0.6803222298622131, 0.7074337601661682, 0.6696513295173645, 0.6838189959526062, 0.6604940891265869]"
The lathe chuck was too tight ,"[0.9262282848358154, 0.726167619228363, 0.6907758712768555, 0.6902213096618652, 0.7154150605201721, 0.7690849304199219, 0.8069406747817993, 0.6829305291175842, 0.7013508081436157, 0.6471797227859497, 0.6409329771995544]"
Drill was too big,"[0.8036497831344604, 0.8236729502677917, 0.7244649529457092, 0.7013399004936218, 0.7044392228126526, 0.6987591981887817, 0.7419604659080505, 0.6984652876853943, 0.7728061676025391, 0.6541550159454346, 0.6685462594032288]"
saw was on a high table,"[0.6862139701843262, 0.6718721389770508, 0.6534669995307922, 0.8471488952636719, 0.7139524817466736, 0.7635876536369324, 0.7312827706336975, 0.67557293176651, 0.7020604014396667, 0.6679044961929321, 0.6417707204818726]"
lathe was covered in wood chips,"[0.7939547300338745, 0.7021633386611938, 0.6749722361564636, 0.7236297130584717, 0.6975322961807251, 0.9215903878211975, 0.7892904281616211, 0.7224448919296265, 0.7232195734977722, 0.7021281123161316, 0.665406346321106]"
12v drill was in unlabeled cabinet,"[0.708372175693512, 0.7573891878128052, 0.6310014128684998, 0.6692599654197693, 0.6973868012428284, 0.723678708076477, 0.7141975164413452, 0.6481394171714783, 0.896685779094696, 0.6504663228988647, 0.6644803285598755]"
gloves too big,"[0.7107173204421997, 0.7523778676986694, 0.8018518090248108, 0.7046593427658081, 0.6580369472503662, 0.649181067943573, 0.6701539754867554, 0.6861203908920288, 0.6530163884162903, 0.6325723528862, 0.6280491948127747]"
holes in trash bag,"[0.6526089906692505, 0.619413435459137, 0.6530438661575317, 0.6349989771842957, 0.7014135122299194, 0.6880239248275757, 0.6609665751457214, 0.7256650328636169, 0.6741017699241638, 0.8221980929374695, 0.6179566383361816]"
too small of pieces in wood scrap,"[0.7130415439605713, 0.701714038848877, 0.6844235062599182, 0.7206857800483704, 0.7140005826950073, 0.7394101023674011, 0.6881676912307739, 0.8698374032974243, 0.7114891409873962, 0.6755244731903076, 0.6450877785682678]"
Gloves too large,"[0.7005280256271362, 0.7460787892341614, 0.8109593987464905, 0.7013518214225769, 0.6450089812278748, 0.6400921940803528, 0.6635199189186096, 0.6676448583602905, 0.6415959000587463, 0.6258916854858398, 0.6263812780380249]"
Had to dig to find correct drill bit,"[0.7227218151092529, 0.7410966157913208, 0.6576924324035645, 0.6280401349067688, 0.7122778296470642, 0.670976459980011, 0.7098265290260315, 0.626522958278656, 0.7943124771118164, 0.6438891887664795, 0.6531460285186768]"
Lathe was left dirty,"[0.7971751689910889, 0.6834831237792969, 0.6592043042182922, 0.6834960579872131, 0.7001202702522278, 0.8844377398490906, 0.7687647342681885, 0.7104867100715637, 0.6889025568962097, 0.6855369806289673, 0.6490170359611511]"
Machine wasn't the most comfortable,"[0.7302747368812561, 0.7091321349143982, 0.7206246256828308, 0.7416950464248657, 0.6671178340911865, 0.6732953190803528, 0.7055578231811523, 0.6610153913497925, 0.6790841817855835, 0.6656275987625122, 0.6539376378059387]"
Couldn�t find the right drill,"[0.7315980195999146, 0.7785382270812988, 0.6774593591690063, 0.6474462747573853, 0.7137064337730408, 0.6725605726242065, 0.7093620896339417, 0.6537896394729614, 0.8142180442810059, 0.6616222262382507, 0.6644431352615356]"
The chuck key was too tight,"[0.846300482749939, 0.7330547571182251, 0.686469316482544, 0.6574543714523315, 0.727286159992218, 0.6730614900588989, 0.7430078983306885, 0.6968334317207336, 0.7135494351387024, 0.6678651571273804, 0.6717529892921448]"
The trash bag was ripped,"[0.678173840045929, 0.6268853545188904, 0.6895110607147217, 0.6643824577331543, 0.7460009455680847, 0.7149248123168945, 0.7000429034233093, 0.7846266031265259, 0.662491500377655, 0.9154984354972839, 0.6502216458320618]"
A machine was covered in saw dust,"[0.7200590372085571, 0.6879460215568542, 0.6707133650779724, 0.7797110080718994, 0.6965980529785156, 0.8564570546150208, 0.7575833201408386, 0.700546145439148, 0.721128523349762, 0.7035727500915527, 0.6525650024414062]"
Someone bumped into him,"[0.6911149621009827, 0.6331911087036133, 0.6570901870727539, 0.6924096941947937, 0.7565760612487793, 0.7093537449836731, 0.7877098917961121, 0.6708341836929321, 0.7100412845611572, 0.7445369362831116, 0.6774354577064514]"
Gloves too big,"[0.7107173204421997, 0.7523778676986694, 0.8018518090248108, 0.7046593427658081, 0.6580369472503662, 0.649181067943573, 0.6701539754867554, 0.6861203908920288, 0.6530163884162903, 0.6325723528862, 0.6280491948127747]"
Someone bumped into them,"[0.6885391473770142, 0.6664449572563171, 0.6651421189308167, 0.7050159573554993, 0.7725239396095276, 0.708308756351471, 0.7893006801605225, 0.7097108960151672, 0.7067639231681824, 0.7472637295722961, 0.6797725558280945]"
Table too high,"[0.6841249465942383, 0.6489683985710144, 0.6367803812026978, 0.8179664611816406, 0.6721532344818115, 0.6702871322631836, 0.6785157322883606, 0.6747174859046936, 0.6238557696342468, 0.6275421380996704, 0.628572940826416]"
Battery too big,"[0.6965104937553406, 0.7316728830337524, 0.6667962074279785, 0.6847187876701355, 0.6605336666107178, 0.628775417804718, 0.6746246218681335, 0.6512779593467712, 0.6811146140098572, 0.6335145235061646, 0.6282315254211426]"
Garbage bag ripped,"[0.6329153180122375, 0.5793125629425049, 0.6512616276741028, 0.6358671188354492, 0.6911904215812683, 0.68425452709198, 0.6558372378349304, 0.728704571723938, 0.6197924017906189, 0.8869141936302185, 0.6070755124092102]"
Scraps had to be disposed of,"[0.6627522110939026, 0.6578989624977112, 0.6791948080062866, 0.655775249004364, 0.7707239985466003, 0.7332102656364441, 0.6413576006889343, 0.8185661435127258, 0.6465873122215271, 0.7499812841415405, 0.6832417845726013]"
Not clean workstation,"[0.6537869572639465, 0.6574727892875671, 0.6650636792182922, 0.6675390601158142, 0.6647550463676453, 0.7492570281028748, 0.632239818572998, 0.6857885122299194, 0.6716449856758118, 0.6599438786506653, 0.6587373614311218]"
Gloves wrong size,"[0.6793245077133179, 0.7240192294120789, 0.7760645747184753, 0.6777965426445007, 0.6439504027366638, 0.6399374008178711, 0.6601358652114868, 0.6547181606292725, 0.6585952639579773, 0.6489077806472778, 0.6266171336174011]"
No clamp,"[0.6844238638877869, 0.6266647577285767, 0.5944623947143555, 0.689738392829895, 0.7816500663757324, 0.6261769533157349, 0.6708018779754639, 0.6248857975006104, 0.640586256980896, 0.6206139922142029, 0.5932864546775818]"
Epoxy issues,"[0.6732563972473145, 0.6192338466644287, 0.7886850833892822, 0.6555050015449524, 0.6322693824768066, 0.6749762892723083, 0.6794013381004333, 0.6354498863220215, 0.5942357182502747, 0.6480033993721008, 0.7743205428123474]"
Torn garbage bag,"[0.6535614132881165, 0.5952829718589783, 0.6639295816421509, 0.6383535861968994, 0.7008769512176514, 0.6941713690757751, 0.660018801689148, 0.7193926572799683, 0.6264812350273132, 0.8835723996162415, 0.6151791214942932]"
Wood too small to be used in free pile,"[0.6820217370986938, 0.6802464127540588, 0.6889603734016418, 0.7264330983161926, 0.6953015923500061, 0.7016304731369019, 0.6625068187713623, 0.8108354210853577, 0.6882845759391785, 0.6444672346115112, 0.63668292760849]"
table too tall,"[0.6807038187980652, 0.652607262134552, 0.6566188335418701, 0.8239411115646362, 0.6683349013328552, 0.6597638130187988, 0.6710665822029114, 0.6909875273704529, 0.6220007538795471, 0.6341831088066101, 0.6300304532051086]"
it being too loud for the user to concentrate ,"[0.6950446367263794, 0.6821354627609253, 0.6727356910705566, 0.698665976524353, 0.7235865592956543, 0.6436445116996765, 0.7075164318084717, 0.6736799478530884, 0.6688125729560852, 0.6588085293769836, 0.6721909642219543]"
some functions requiring a lot of brute strength ,"[0.6864696741104126, 0.6917700171470642, 0.6814674735069275, 0.6717026829719543, 0.7041637897491455, 0.6329236626625061, 0.6970618367195129, 0.6638576984405518, 0.6743184328079224, 0.6443315744400024, 0.6082099080085754]"
Lathe being turned off,"[0.7949927449226379, 0.6906849145889282, 0.6438280940055847, 0.6921020150184631, 0.6817343235015869, 0.7856380939483643, 0.8048326373100281, 0.6329767107963562, 0.6558049917221069, 0.6172106266021729, 0.6304201483726501]"
Wrong size drill,"[0.7430535554885864, 0.80345219373703, 0.6741749048233032, 0.6762366890907288, 0.6505960822105408, 0.6620521545410156, 0.7013314962387085, 0.6467233896255493, 0.7835565805435181, 0.6308019161224365, 0.6300145983695984]"
Had to take trash out ,"[0.6750267148017883, 0.6354635953903198, 0.6908155679702759, 0.6590405702590942, 0.7631742358207703, 0.7120079398155212, 0.6729439496994019, 0.7985208034515381, 0.6965620517730713, 0.837872326374054, 0.6788634657859802]"
Trash can ripped,"[0.6388474106788635, 0.5968095064163208, 0.667547881603241, 0.656976580619812, 0.6964981555938721, 0.6770133376121521, 0.6677274107933044, 0.7492403388023376, 0.6553266048431396, 0.8529567718505859, 0.6229828000068665]"
Scraps of wood,"[0.6495453715324402, 0.6229373812675476, 0.6336612105369568, 0.6930215954780579, 0.702940046787262, 0.756550669670105, 0.6711003184318542, 0.8411531448364258, 0.6770458817481995, 0.7239146828651428, 0.6297004818916321]"
Not right materials,"[0.6778147220611572, 0.6902250051498413, 0.7158771753311157, 0.6689212322235107, 0.6636937260627747, 0.6773031949996948, 0.6591888070106506, 0.715892493724823, 0.662182629108429, 0.6920990347862244, 0.6658027172088623]"
Pushy people,"[0.6698377728462219, 0.6470910906791687, 0.6443979144096375, 0.6497145891189575, 0.6936977505683899, 0.6203092336654663, 0.7089619040489197, 0.648181140422821, 0.6506557464599609, 0.6821439266204834, 0.611840009689331]"
People not cleaning up,"[0.641558825969696, 0.6632601022720337, 0.685762345790863, 0.6655945181846619, 0.71490877866745, 0.6978985667228699, 0.6326982378959656, 0.7355741858482361, 0.6531031727790833, 0.6865376830101013, 0.6724864840507507]"
Not the right equipment available,"[0.7104089260101318, 0.7780495882034302, 0.722879946231842, 0.7259407043457031, 0.7214187383651733, 0.6629848480224609, 0.6977582573890686, 0.6961718797683716, 0.7119237780570984, 0.6667878031730652, 0.6417415738105774]"
Uncomfortable Saw,"[0.6928032636642456, 0.6833085417747498, 0.6774150729179382, 0.8322566151618958, 0.6909682154655457, 0.7095473408699036, 0.7331387400627136, 0.6544655561447144, 0.710875928401947, 0.6776866912841797, 0.6255062818527222]"
Cutting the wood in half,"[0.6700233817100525, 0.6565607190132141, 0.6381072402000427, 0.7336412072181702, 0.6784788966178894, 0.7162212133407593, 0.7090390920639038, 0.7267822027206421, 0.6901751160621643, 0.6746800541877747, 0.6517139077186584]"
Scrapping the wood,"[0.6647883057594299, 0.6188370585441589, 0.6312631368637085, 0.7164633870124817, 0.7199351787567139, 0.7594205141067505, 0.6927683353424072, 0.8190383315086365, 0.6867762207984924, 0.7414724826812744, 0.6439072489738464]"
Drilling the hole,"[0.7252848148345947, 0.7112624049186707, 0.6278183460235596, 0.6599363088607788, 0.6911244988441467, 0.6788812875747681, 0.7403467297554016, 0.6054534912109375, 0.7744242548942566, 0.6558011174201965, 0.6555447578430176]"
Cleaning up work space,"[0.6491267681121826, 0.6216999292373657, 0.6404009461402893, 0.6721273064613342, 0.6969570517539978, 0.7355142831802368, 0.6501309275627136, 0.6971912384033203, 0.7078410387039185, 0.6813837885856628, 0.6610068678855896]"
Taking out the trash,"[0.6164113879203796, 0.5957744121551514, 0.616606593132019, 0.6374432444572449, 0.704392671585083, 0.6818530559539795, 0.6450849771499634, 0.7574743032455444, 0.6796797513961792, 0.7960923314094543, 0.6183907985687256]"
Unorganized spacers,"[0.6385822892189026, 0.6522001624107361, 0.639933168888092, 0.6434364914894104, 0.6609087586402893, 0.6635605096817017, 0.6637336611747742, 0.6804878115653992, 0.7025048136711121, 0.6520681977272034, 0.599284827709198]"
Mess left by others,"[0.6527312397956848, 0.6424222588539124, 0.6508013606071472, 0.6502728462219238, 0.7144220471382141, 0.7312984466552734, 0.6521700024604797, 0.7501581311225891, 0.6703502535820007, 0.713925838470459, 0.6630572080612183]"
Not enough aisle space,"[0.6489192247390747, 0.6749336123466492, 0.6802875399589539, 0.7252871990203857, 0.665581226348877, 0.6193581223487854, 0.661631166934967, 0.6860458850860596, 0.672086775302887, 0.640479564666748, 0.634310781955719]"
Emergency stop,"[0.6431396007537842, 0.6509529948234558, 0.658598005771637, 0.6721535921096802, 0.7087475061416626, 0.637771725654602, 0.798765242099762, 0.6343322396278381, 0.668753981590271, 0.6976478099822998, 0.6936653852462769]"
Too small of scraps were left in the bin,"[0.7130548357963562, 0.7196491956710815, 0.7258163690567017, 0.698394775390625, 0.7831074595451355, 0.7174926996231079, 0.6653839945793152, 0.8760795593261719, 0.7196183204650879, 0.7402345538139343, 0.6840036511421204]"
Trash bag was ripped,"[0.6685793995857239, 0.615123450756073, 0.6834919452667236, 0.6554008722305298, 0.7350072860717773, 0.7089921236038208, 0.6884002089500427, 0.7681580185890198, 0.6486116647720337, 0.9130249619483948, 0.6389007568359375]"
Had to dig for a new drill,"[0.7312622666358948, 0.7404255867004395, 0.6398016214370728, 0.6536410450935364, 0.7094497084617615, 0.6815643310546875, 0.7052111625671387, 0.625623345375061, 0.7864137887954712, 0.6638810038566589, 0.6432507634162903]"
Couldn�t find a clamp,"[0.7478634119033813, 0.6788446307182312, 0.6796248555183411, 0.6892540454864502, 0.8579666614532471, 0.6659340858459473, 0.7069953680038452, 0.6907446980476379, 0.7400699257850647, 0.6950702667236328, 0.6381885409355164]"
Lathe was covered in saw dust,"[0.7908067107200623, 0.6795835494995117, 0.6743048429489136, 0.7481078505516052, 0.6987156271934509, 0.9101102352142334, 0.7915840148925781, 0.6995216012001038, 0.6957436800003052, 0.6812394857406616, 0.6530569195747375]"
Bumped the E-Stop when someone squeezed through the aisle,"[0.6661223769187927, 0.6152854561805725, 0.6485134363174438, 0.6742516160011292, 0.7045342326164246, 0.6452689170837402, 0.8034136891365051, 0.6529999375343323, 0.6678449511528015, 0.7233144640922546, 0.6453208327293396]"
There was garbage in the scrap bin.,"[0.6662378907203674, 0.6527817249298096, 0.6829383969306946, 0.6622524261474609, 0.758277416229248, 0.7409234642982483, 0.6707062125205994, 0.84599769115448, 0.6914498805999756, 0.8239068388938904, 0.6662119626998901]"
The garbage bag was ripped.,"[0.6873133182525635, 0.6342334151268005, 0.6980985403060913, 0.663969874382019, 0.7432286143302917, 0.7206334471702576, 0.6981120705604553, 0.7790812849998474, 0.6589432954788208, 0.9075654745101929, 0.6558141112327576]"
The miter saw table was too high.,"[0.7335283756256104, 0.6941395998001099, 0.6764257550239563, 0.878593921661377, 0.7109451293945312, 0.7360543608665466, 0.7330206632614136, 0.7226662039756775, 0.6673217415809631, 0.6604015827178955, 0.6449242830276489]"
The drill was too big.,"[0.8120071291923523, 0.8315746188163757, 0.7370150089263916, 0.7096953392028809, 0.7137098908424377, 0.7057324647903442, 0.7536458969116211, 0.7189911603927612, 0.7648850083351135, 0.6694964170455933, 0.6723974943161011]"
He had to search for the wood clamp.,"[0.7447672486305237, 0.63948655128479, 0.6444829106330872, 0.687896728515625, 0.8494937419891357, 0.7187718749046326, 0.7044464945793152, 0.7135071754455566, 0.7437418103218079, 0.679377555847168, 0.6549150347709656]"
He had to wait 24 hours for the epoxy to cure.,"[0.6593548059463501, 0.6300011873245239, 0.7549821138381958, 0.595466673374176, 0.6740967035293579, 0.6778406500816345, 0.657494068145752, 0.6112526655197144, 0.6299735307693481, 0.6162506937980652, 0.9080508947372437]"
"Someone left the lathe a mess, so he had to clean it.","[0.8150953054428101, 0.6846245527267456, 0.6740699410438538, 0.6740174889564514, 0.7377626299858093, 0.8972855806350708, 0.7842071056365967, 0.7259657979011536, 0.7137876749038696, 0.7159782648086548, 0.6801739931106567]"
"Messy workspace(had to take out garbage, clean off sawdust and scrap wood)","[0.6758372187614441, 0.6427227258682251, 0.6841796636581421, 0.7007495760917664, 0.7138370871543884, 0.811107337474823, 0.6721817851066589, 0.7853519916534424, 0.6979406476020813, 0.7509519457817078, 0.6638385057449341]"
"People interference (bumped at lathe, chuck too tightened)","[0.8653398752212524, 0.6744386553764343, 0.6497167944908142, 0.7011950612068176, 0.7246469855308533, 0.7812328338623047, 0.8489047288894653, 0.652048647403717, 0.6725361347198486, 0.6668586134910583, 0.6220835447311401]"
"Some tool usage difficulties (too tall table, switching to hand drill)","[0.7576579451560974, 0.7564409375190735, 0.722852885723114, 0.8252777457237244, 0.71480393409729, 0.7292927503585815, 0.744655430316925, 0.690445601940155, 0.7597009539604187, 0.6574935913085938, 0.6267302632331848]"
Wrong equipment (gloves),"[0.6864458918571472, 0.7271459102630615, 0.7250823974609375, 0.6934700012207031, 0.7022996544837952, 0.6871151328086853, 0.6892529726028442, 0.6670292019844055, 0.6685321927070618, 0.6913403868675232, 0.6302550435066223]"
Full trashbag,"[0.6379885077476501, 0.6140586137771606, 0.657677948474884, 0.6279827952384949, 0.698184072971344, 0.6877302527427673, 0.6565374732017517, 0.7210219502449036, 0.6479102969169617, 0.8091833591461182, 0.6111490726470947]"
Hole in trashbag,"[0.6667569279670715, 0.6338708996772766, 0.667561948299408, 0.6582918763160706, 0.7261930704116821, 0.6868350505828857, 0.6858291029930115, 0.7431899309158325, 0.7046302556991577, 0.8336763978004456, 0.639891505241394]"
Sawdust covered miter saw,"[0.6528629064559937, 0.6328732371330261, 0.6486594080924988, 0.7672677636146545, 0.6622741222381592, 0.8315125703811646, 0.6909570097923279, 0.6644042730331421, 0.6674562096595764, 0.6915983557701111, 0.631101131439209]"
Miter saw too tall,"[0.6896294951438904, 0.6755133271217346, 0.6545151472091675, 0.8674589395523071, 0.6708967089653015, 0.7040884494781494, 0.6949679255485535, 0.6731234192848206, 0.6661815047264099, 0.6324598789215088, 0.6233782172203064]"
Bumped and hit the emergency stop button on lathe,"[0.7855284214019775, 0.6740642786026001, 0.6668970584869385, 0.7162355184555054, 0.7105048298835754, 0.7868503332138062, 0.9343981742858887, 0.652618944644928, 0.6880202293395996, 0.6952013373374939, 0.6558084487915039]"
Clamps were not in correct place,"[0.7611231803894043, 0.6755598783493042, 0.6671294569969177, 0.7040553689002991, 0.8401856422424316, 0.6742659211158752, 0.7238348722457886, 0.6881616711616516, 0.665015697479248, 0.6926680207252502, 0.6645392775535583]"
Saw table was too high,"[0.7253566384315491, 0.6777592301368713, 0.6664908528327942, 0.8485560417175293, 0.705552339553833, 0.739632785320282, 0.7229880094528198, 0.7108694911003113, 0.6675186157226562, 0.661562442779541, 0.6440744400024414]"
Took trash out but bag ripped,"[0.6604649424552917, 0.5898206233978271, 0.6703088283538818, 0.6424599289894104, 0.7198596000671387, 0.705950140953064, 0.6710187792778015, 0.7632615566253662, 0.6524764895439148, 0.9090030193328857, 0.6266709566116333]"
Too big of gloves,"[0.7125484347343445, 0.7646765112876892, 0.8004937767982483, 0.7137327194213867, 0.6717596650123596, 0.6490897536277771, 0.6651740670204163, 0.6956103444099426, 0.6555715203285217, 0.6269264221191406, 0.6281247735023499]"
Couldn't find correct drill,"[0.7256474494934082, 0.7685537338256836, 0.674507200717926, 0.6344447135925293, 0.6931898593902588, 0.6734045743942261, 0.7075601816177368, 0.6307339072227478, 0.8087674379348755, 0.6603321433067322, 0.6560044288635254]"
Had to clean up someone's mess on lathe before starting,"[0.796415388584137, 0.673585057258606, 0.6949318051338196, 0.6788656115531921, 0.7195616364479065, 0.8815310597419739, 0.795803427696228, 0.716180145740509, 0.6901454925537109, 0.6959671378135681, 0.6816515326499939]"
Needed pliers to loosen chuck on lathe,"[0.9166126251220703, 0.7095155715942383, 0.703156054019928, 0.6792169809341431, 0.7442947030067444, 0.7740817666053772, 0.7820494174957275, 0.6701063513755798, 0.7130199074745178, 0.6550966501235962, 0.6507409811019897]"
Someone bumped into them while working on lathe,"[0.8059836626052856, 0.6966232657432556, 0.686824381351471, 0.7456969618797302, 0.7561731338500977, 0.8258557319641113, 0.880664587020874, 0.6972325444221497, 0.7261719703674316, 0.6857466697692871, 0.6706688404083252]"
The drill was too large,"[0.8134004473686218, 0.8358931541442871, 0.7464432716369629, 0.7131561636924744, 0.705567479133606, 0.7050342559814453, 0.7501896619796753, 0.7063016295433044, 0.769265353679657, 0.6629616618156433, 0.6729183793067932]"
Gloves did not fit them,"[0.7041753530502319, 0.7469043731689453, 0.8019612431526184, 0.6729531288146973, 0.7041477560997009, 0.6727333068847656, 0.675853431224823, 0.7167959809303284, 0.6634767651557922, 0.6865524649620056, 0.6599518656730652]"
They were bumped into the emergency stop button,"[0.6681182980537415, 0.6722292900085449, 0.6624777317047119, 0.6706372499465942, 0.7346515655517578, 0.6512053608894348, 0.8593023419380188, 0.6717263460159302, 0.6751447916030884, 0.7270584106445312, 0.6730437278747559]"
Previous users didn't clean up their mess,"[0.6916670799255371, 0.6645580530166626, 0.7155886292457581, 0.6497951149940491, 0.7608380913734436, 0.7404305934906006, 0.6683507561683655, 0.7448447346687317, 0.6865575313568115, 0.7569550275802612, 0.6806609034538269]"
Some scraps in the bin were too small to use so they had to discard of them,"[0.7110375165939331, 0.7155334949493408, 0.7385721802711487, 0.6966897249221802, 0.7890506982803345, 0.7160794138908386, 0.6599352955818176, 0.8876734375953674, 0.7113330960273743, 0.7443547248840332, 0.6838176846504211]"
unclean workspace,"[0.6601783037185669, 0.6339812278747559, 0.660868227481842, 0.6882129311561584, 0.6936917901039124, 0.6939941644668579, 0.656013548374176, 0.702874481678009, 0.658190906047821, 0.6527308225631714, 0.6602599620819092]"
