Speech Segment,Open code(s)
"Something that I haven't described yet. Do you guys know, have have you played Zelda before? And I know you haven't, but actually I think I can show you I brought my switch. But it's like I I did part of this project that I envisioned before, but I couldn't pull it off as well as I wanted to. So the Shika slate is the map and other tools, whatever of the last two Zelda games. One of one part that I really liked about it was wherever you've been, it keeps track of as well as how you got there. So the route or the path it like draws the path the way that I wanted to do that for us is our Google Maps history and just mapping our Google Maps history and how like we go about our day and recreating that and like so that's there's the map there's you would. Like take a picture of the universe with the Shika slate, so that would be like computer vision. If we want to make one project that everyone has their own part of. But yeah.",Explanation of an idea
Interesting,Validation of idea
Where I don't think I fully understand what that is.,
So like.,
"Actually, let me show you. Because switches need Wi-Fi.",
Is it just like a map with the like the path on it or something? OK.,
"Like at the most minimum, right? We said devpost, that's what I'm looking for.",
You know they have snacks anywhere?,
"I think they have snacks like right there. Look on the table look outside. Yeah, get some OK. Those are tripping hazards, I'm telling you. Thank you for so many outlets, but they're just kind of dangerous.",
I know the other places had like little humps over these so you don't trip over them. Wait.,
"Little humps, wouldn't that? Like they're kind of low, like really low profile, right? Yeah. Yeah, yeah.",
"Like like speed bumps. So there's no tripping on, yeah. The whole wrestling.",
Like I really like things that are modular. I'm trying to think if we can come up with something that's related to hardware or something or software that's like modular and you can.,
How can we?,
"Computer vision. What are problems? Trying to think of problems. Did you find them? yeah, there's there I saw a desk with like, full of snacks. Maybe it's gone, I don't know.",
"I have an idea, but it's dependent on how good the camera will be. You know color theory?",Concern for resources
OK.,
"And one application of that is, you know how this same left hand grey shirt looks different on different people with different skin tones. Like I was just thinking of computer vision applications and that's one way that we could do it. So like.",Explanation of an idea
I don't know.,
Like color,
"Like a color counseling thing, where like these colors suit you!",
"Oh, that's cool, actually. I like that, OK. That's cool. Yeah, because I remember there was this thing where it's like. It's like in Korea or something. And then like you go and then like you have like a thing and yeah, yeah, yeah, yeah.",Validation of idea
That's exactly what I was envisioning.,
"Yeah, yeah. OK. Actually, I like that. That's interesting color theory. So I feel like there's a certain, like there's a challenge to that too from the software side. But it's it would be interesting to try to replicate that sort of effect of like, you know, having that the the like the templates there and then like it you know projects onto your face somehow and then like creates that effect and see what you look like with that, you know, wearing that that item.",Interest in how difficult the problem is
I know that that exists because I know they do that for nail polish. OK. Like it's AR and they they they map the.,Analogy
"Yeah, they project it onto your fingers. Yeah, yeah.",
So a similar project would be project onto your shirt. What would you look like with this color sweater? Would it clash with your skin tone? What about your undertones? All that fun stuff.,
"Yeah. Yeah, I think that's very interesting. The CV [computer vision] part of that is interesting too, because like you have to understand, sort of physics to do that kind of reflection.",Validation of idea
Is it? Is it or is that straightforward like applying color theory?,Difficulty or challenge of idea
And what is it? If it was like?,
I have no idea.,
"It's just like what color suits you the best when you're wearing a shirt, for example, and then?",
How do we know what is good?,
"I don't think we determine it, but it's rather they get a choice of, say, seeing themselves in, you know. Whatever.",
Oh yeah yeah,
"It's based on color theory, but like the the the part that we're implementing would just be the AR.",
"Yeah, honestly, we can't. We can even do that in like web and then do it as like a Chrome plugin if we can do it simple enough. Like I don't know about the AR part, that might be tough, but if we just work with like an image of yourself or something.",Challenge of the problem
Ohh as in like put it on the screen instead of putting it on the world.,
You just create a profile of yourself,
"Yeah. And you could even do like side profiles or something and then that because we're only dealing then with like 3 images, it makes it a lot easier compared to like a whole trying to do like virtual reality AR problem, right?",
OK.,
That could be interesting.,
How is that different from editing?,
As I remember to turn this.,
"OK, I got the hang of being a reality star.",
"It's like the office, yeah.",
"Yeah. The only thing we're missing is the camera angle, the camera, the camera shots.",
So this the.,
"We can borrow, but even if even if we can't, if even.",Concern for resources
Ohh I have a camera.,
If they don't give. Us ohh it better.,
"I bought one just in case, just in case the hardware run out like WOW prepared.",
"Oh wow. Damn. OK, so this. To reiterate again, this idea is getting people to try on different colors of clothes they want to get, and then see what's the best color fit for them? So like for an.",Asking for idea clarification
"OK, wait. To clarify, because there's the AR, or like mapping it onto the person idea that we have, and there's the answering what color suits you.",Clarification of idea
"OK, sure.",
Like those are different levels.,
"Yeah, I think they're. I mean, they're two. Yeah. Yeah, yeah, yeah. They're two different. They're kind of different, right? Yeah. Yeah.",
"They're quite different, actually",
"Well, one one thing is like, you have to project the clothes. And then the second part is what color looks good. So the two separate problems on its own, but the one requires the other.",
"Yeah, both are not that easy though, yeah.",Difficulty or challenge of idea
The second one needs the first. So are we good with just mapping it on to then?,Scoping
"Yeah, I mean, how hard would that one be though?",
"Like mapping it onto somebody? Yeah, I don’t know.",
"Not mapping it onto somebody. Mapping it onto an image. We're not it, it’s not exactly AR so. Yeah, yeah, yeah.",
That just mapping it onto an image like even side profile but you're able.,
Okay do you guys know any tools to do that?,
"I assume you have to use some sort of ML to learn what part of that image is clothes versus head or something, right?",
"Yeah, exactly. You do need fair bit of like engineering understanding to build that product in the 1st place. I don't know if it's already built it seemed it, I feel like it.",
It's probably there's probably things out.,
"There. Yeah. So if we can find that then, great. Then the problem becomes understanding what color fits in the best. But OK, I have. OK, so technically I'm OK. I have like usability questions like how how are we like theoretically, how are we going to be able to like predict what they like when there's like in my mind, there's so many factors like mood, timing, event, something gonna happen in my life, etcetera? You know?",Feasibility of idea
"I mean that part gets answered by the fact that it's color theory it's it's not like what what you like, it's what suits your skin tone like the the color theory of it is. Like so because. He he, he, he. Visualizes it. When I explain of like there are different clothes, different colored clothes on you and then they they like in this consultation, they they flip between this red or the the the darker red or the lighter red and like the the the the question of which suits you would be just adding a condition of is this are these clashing colors? Are there complementary colors? Are they like? Do you see this as its true color next to it? Or do you have the illusion of it that it's actually lighter or darker than it actually is? Like that parts color theory.",Explanation of an idea
OK.,
You gotta see a video because it kind of works.,
"OK so. If it's color theory, then why do we, why do we care about what the user thinks?",Asking for idea clarification
"We're not asking what they think, we're showing them what they look like with what we're.",
"Like it's, I mean you can look at that, but it's basically like.",
"It's sort of subjective sometimes like you know some people just like certain colors, but. but it basically says OK like you look good in this color, but you don't look as good in the the other color.",
"It's it. I I'm also seeing like it's an application of computer vision of like color that's the, yeah, it's just color.",
"What would be interesting is like if we're able to sort of do like, get an image, but then sort of simulate like the lighting condition in from that image and then somehow have that color like change what the person looks like, like from like, reflections or whatever. Because like when I saw one of those videos like did the person's face look like brighter? They tried on different colors like when they tried flip the right color. So like I don't know what effect that is like.",
"That's that's. That's what I mean by like it's it's just color theory. It's there's the reflection of it. Where, like it, it bounces back on to the face of the user. But at the lowest level, it's how do you have you seen those optical illusions where, like let's say, the black and white checkers and then they're 2 grays and you think they're different grays, but it's only because of the colors they're next to that they look different, but they're actually the exact same shade of gray?",Analogy
"Yeah, yeah.",
"OK. So to reclarify now... We use color theory. And computer vision to basically see. What the the persons colors are and use color theory in your mind? What's a good color fit for them? Is that. That's the idea. OK, I get that part.",Asking for idea clarification
"This is the illusion that I was trying to explain. A&B are the exact same gray, but because of the colors around them, it looks like they're different grays, but they're the exact same shade of gray. That's what the color theory is of like. Does this gray look good on you, or does this gray look good on you? Is what we're trying to tell the user.",Clarification of idea
OK.,
Because their skin tone determines that.,
"OK. OK, so like a practical application would be we take their profiles, we do some computation back to get like what colors best fit and then from then on they can use this tool to project the clothes of that colour on them when they're buying or whatever, is that it getting right, OK.",Apprehension
"Could be. I know one of the sponsors. What does Genesis do again? Another one of the sponsors. I think if if they're if they're commerce website we could we could tweak this to say like this, make them shop for this color e-commerce. If that's what they do, and I remember.",Sponsor
We can keep thinking of other stuff too.,Alignment of team goal with individual goal
"Yeah, yeah. I think I think my hunger is cutting in the brain.",Concern about health
I'm staying until.,
It will be fun.,
"3:30 AM though. It turns out because the person that I'm staying with is volunteering in this event and their shift is from 12:00 to 3:30. So because I missed before 12, I got to go after 3:30.",
"Wait, like you're going to go to someones house, OK? But then do you live close then?",
"She said 10 minutes, so it's closer than wherever the opening ceremony was.",
"It's probably around there, I guess. Yeah, I think of other ideas I guess.",
"Did you write the idea down? OK, I'm just gonna go down and ask and come back and be more refreshed.",Memeber leaves
Can you give me an example of the mechanics that you were talking about that you wanted?,
Like mech in general?,
What kind of projects can you make with that?,
"I've done like I've built like little robots. I built 3D printers. Like it's all very. Yeah, like not hackathon type projects I guess.",Hackathon versus industry project
"I'm trying to see if a use case could be a hackathon project. Even if the thing itself isn't. Another computer vision application that I tried before, but I never actually solved so it’s still up for the running, I wanted to make something that like measured something from an image. Like if I take a picture of a door, will it know how thick the door is or wide the door is? And I know that you need either multiple images or three cameras at the same time to be able to like see depth. So that would be.",Explanation of an idea
Like so.,
"Yeah, like technologically a challenge.",Difficulty or challenge of idea
"I mean, how thick it is? Oh, you want to see?",
"As in the width of, just measure something.",
"That you just you want. You just want to measure something you need like an object of reference. At least. Like there's no other way to do it really. Yeah, because you need at least one known variable. Like if you know, perhaps even the distance to the door. You might be able to calculate the the width of it, or you have a like for example a coin.",
I've seen the coining like put it next to the. Coin and then OK.,
"Exactly. You know, you might have done that for nails or something because I know people do that for nails and then they take off.",
"You know, I I made my nails match the [hackathon] website.",
"I mean, I think worse come to worse, we can pursue one of the sponsors. Like sponsor, what do you call them? Challenges. So we can look through those and see if we, you know, see anything we want to do. Sure. Yeah. There's no lack of things to do so. Yeah, VM. Oh, that's pretty good. VM Rover with Raspberry Pi and LIDAR for each member if we win",Sponsor
You don't want any hardware kit?,
That we call most innovative eye tracking application.,
"Yeah, but they only have one eye, eye tracking glasses. That was a lot to read away, so I have no idea how they're doing.",Concern for resources
That prize? Don't they have 5 of?,
"Those OK, so those. Five are the only ones competing for that $1000 prize.",
"Yeah, we didn't enter the lottery, right?",
"No, we're automatically entered",
ohh. Everyone's entered into.,
"Yeah. And then it was that you get notified if you win and then within the hour, if you don't pick it up. They re lottery.",
"That's crazy. I didn't know that. OK. So I guess gen, there's the genesis one, which I don't know.",
"Oh yeah, what does Genesis do?",
I don't know. Let's check what does Genesis do? Are there e-commerce? Omni channel customer experience and come OK.,
I'll be right back.,
Cohere. Onto the best of best use of code. Cohere isn't bad.,
"Coherence is NLP and because it's an MLH prize, there won't be a lot of competition for it.",Uniqueness of project 
Salana Ethereums infinite garden.,
What kind of use cases would we have for LLM's if that if we're going for a category?,Facilitation
"I mean, there's so much stuff in, like assistance. Like I saw this Y Combinator project startup. They do. They did. But some sort of AI helper thing that like help you build like electrical circuits. And so like, you know, if you wanted an electrical circuit that does a certain task, you write it in and you'd be like, oh, I wanted to light up five LEDs in sequence or something, and it will build you a circuit. So like a lot of stuff is being done using LLMs to do that because I think what they're able to do is like first, go to like a text format and then translate that and then they add a layer to that. There, that’s actually doing like producing something like for example going from a text of like. This is how you do it but then they go from that and then to an actual on circuit. So would there like I don't know what they're using, but if they're using some LLM that's already built, they might be prompting it with like specific things to generate the output that they want, and then parse that into some sort of final thing, right? So that's something we could do, I guess. Yeah, if dental ML?.",
"I feel like, uh, LLMs have been explored a lot already, so a lot of these cases have already been fleshed out, yeah. I don't see a lot there.",Uniqueness of project
"Because I think sometimes it's just like you might have a really good idea, but then it's like, does it actually work? I think that's hard to do.",Feasibility of idea
"Bro, we don't even know what we're making work yet.",
"Let me look at the hardware stuff. Do they have anything still? Because I think everybody. Just I think it opens now, right?",
I thought it's been open it's 12:09. Are they behind schedule?,
"But I think we start hacking at 12, right?",
Yeah. Now we can make our repos officially and stuff.,
"OK. Well, let's see what they have. Microcontrollers. Do we want to request some stuff or just get a bunch of servos to begin with? I mean, we might not even use them, but. Oh, I requested them.",Hackathon strategy
Nice. Thank you.,
"You're welcome, but I don’t butI think we need some like modules to go with that one.",
You're just reserving the basic hardware stuff right?,
Yeah. Just so we have some.,
"In case we do make something, yeah. What are you getting?",
"Some servos and then we have Raspberry pies. OK, let's go to Jetson. Because why not?",
That is empowered.,
There's no way you can you. There's a lottery for a drone.,
Did you by any chance hear the object detection idea I had?,
Which one is it?,
A game to help kids clean their room. So scan once with the clean room looks like and then every time after that check if it matches that clean room.,
OK.,
"And then if we demo it, it could be as simple as I think one wow factor if we want to demo it could be are actually because you can dumb it down into we have an original image of what it's supposed to look like, and we're comparing what it actually already looks like right now to that original. So whatever is off if a thing is not in its container, something spilled, yeah.",Explanation of an idea
"Like finding, almost like finding differences, right? Yeah.",Asking for idea clarification
"Yeah, exactly. And if we want to make it even more like usable, it would make sense for something like this to be on an Amazon Echo show. That's hardware",
Okay,
Cause like the echo would see the room and then display whether or not something is off. And it's it. It counts as a game counts as. Does it count as hardware? What did I say?,
Think is that hard. Not hardware CV.,
CV. Yeah. OK. So it's a game and it's CV.,
"Yeah, cool. So if I can build on top of that. So for demoing, I guess we're just.",
"Like for demoing, we could have. Let's say random stuff like a water bottle or lanyard in front of our laptop webcam, and then there's an order like water bottle, webcam, phone that is supposed to be the clean room. And then we jumble it up and show and demonstrate that, hey, it's recognizing that something's wrong, and then we rearrange it in front of the judges. Yeah. And then rescan it. It sees that they’re more or less the right order. Boom. Demonstration.",Explanation of an idea
Yeah,
I'm just looking at the hardware list to see with the stuff we have potentially what we can build.,
"Yeah, for sure. So this one was a little promising. The last thing I said was it promising? The clean room thing.",Feasibility of idea
"Sure. I think it's suitable, yeah.",Feasibility of idea
OK. What other promising things? What other ones did we say were OK?,
The color theory one maybe,
"Anything else? OK, three or somewhere? There is my third marker.",
"OK, we can just get a bunch of stuff from there, OK? OK, they have an accelerometer. Interesting.",
"Very, very unrelated, but a mechanics. Or robotics, or whichever it's thing that I think I'd want to make a rigged beyblade. Cool. Like, just be able to control where the Beyblade spins and goes",Topic generation
"that'll be sick. I think what we can do is you have the thing kind of hollow, and then you have some sort of weight and you just like control where the weight is angling and you will also have some sort of sensor probably an accelerometer to detect whether or not your level. And then you can detect your angle of change and then by changing the way you can change that angle. And then go to where you want to go. Which is cool.",Explanation of an idea
"See, you thought that all the all the way through.",Admiration
"Yeah, I'm not an ideas guy, but I can materialize your ideas.",Self-identification of knowledge and skills
That's pretty solid.,
"Yeah, we have a bunch of stuff I guess we can use, but I don't see anything that's like because I'm looking for something where we can connect like multiple servos together. And then that would make it easy to like that would allow us to control like multiple things at the same time. But it seems like they don't really give us anything like that, so we might be limited as to how many servos we can control and make it annoying, like we could probably do a lot, but then you have to wire each one up separately. It's kind of annoying.",
By servos you mean like the Arduinos for the Raspberry pies and those motherboard things?,Asking for clarification
Yeah. Let me look at the Jetson Nano. How many? How many? Analog pins it has,
"Maybe they have a couple. Ohh no input but but it would be cool. So going off of like one of the ideas with, like the trash segregated thing, like, we could do some sort of like very simple vision stuff and then just have like a little robot that picks things and then places them or something like you know a good project to like incorporate a little bit of both. But then I think the other side of that, it's just like.",Revisiting other idea
Can you hear me?,
"The picture part like what is the use of it because like people have done that, it's not a.",
What's up?,
"Hey, what did I miss?",Member returns
"OK recap. The red determines which ideas kind of went further than the others. Not like their final but, we got a little more out of them. The object detection to check if the room is clean, that is both game and computer vision. The color theory which is like how do we explain this easily? Checking to see how that color shirt would look exactly on your skin tone. You know how like Shades look a little different depending on.",
That's cool. I like that.,Validation of idea
Cool the roommate assistant. And you're trying to be greater.,
OK.,
"If it was me, like if I were to try and short list I I kind of like the the shirt idea, the room roommate assistant. Like, I feel like I I would like those too, yeah. The color your shirt was kind. Cool. Yeah, you could also do something like also like depending on like the weather or something, what would be the best outfit? Maybe like a I don't know hoodie or shirt or something like that.",Validation of idea
"That makes sense. That would add to the functionality. I think it would be a different direction but it would still be the same project, it would just be like OK, we're splitting it up amongst ourselves. We can all do different things.",Individual contribution to team goal
"But the thing is also like if, like obviously every like the one person will have like for me like I have the skin tone. Is it gonna recommend the same thing for me over and over again or is it gonna like?",
"Ohh, it would recommend which different colors like fit you the other stuff like hoodies or something are dependent on body type and stuff so like that that part would add more factors.",
OK.,
That's true. Where did Speaker 2 go? Also a workshop or something?,Commenting on missing member
Where did he go?,
He said he wanted to be recharged when. he got back.,Sarcasm
"What does that mean? OK, cool. He's charging. This has a power plug on his back and just.",Sarcasm
"Like he's just a man. He's the robot. OK, that's. OK, these are some nice ideas at least.",Validation of idea
"Yeah, I'm requesting some hardware, so I'm just looking at things that's there like we definitely can build some, like, very simple robot thingy.",
"I think that's cool with me. Yeah, I'm down to do that. What do what do you know how like, what do you know how to what to use?",Alignment of individual goal with team goal
"Like how to use? I mean I've got some servos so they're very basic, but we're able to do some like movement thingy would be fun or challenging. Now that I think about we could do like an arm tracking thing, but then we have the like.",Difficulty or challenge of idea
"Sure, sure.",
"Almost that thing control robot with camera gestures we just we can do that one if you want and then we have an arm, for example, and then let's like ee might be able to do some sort of like the look at the arm and then grab the object and then pick it up or something.",
This this would most likely be difficult.,Feasibility of idea
"It's very hard. This would be difficult, yeah.",
But that's why we have four people and I think we could.,
Because the degrees of motion would be a lot,
"It would be I think I'm limiting it to like 3 or two. And then yeah, 3 isn't bad, but more than three is becomes difficult.",
"OK, so you have you, you you have server motors or your booking server model.",
I'm look like requesting them.,
"OK, we'll need some power for that. So yeah. Arduino",
Main part.,
"Yeah, I got a Jetson like I requested Jetson Nano, but I don't know if it will be like enough ohh. It has power supply. It ohh has the power supply which is good. OK. Yeah. I mean, I ordered a bunch like we don't necessarily have to do one thing so yeah, but that's an idea. So why are they giving us BLDC motors but no controller? That's so weird. They gave us. Interesting. Yeah, none of my stuff has been approved. I might have to go there. Or something. I don't know how it works. Like if we have stuff. Yeah, as long as we have some stuff that's.",
Speaker 2 is back,Member returns
Oh nice,
"All right. What's this? Recharged. Oh, he got some food. Oh you.",
Got it.,
You guys made progress?,
"Let me update you on our board. You last left when we were discussing the color theory project, I added the explanation for the object detection to check if the room is clean, which is like both a game and computer vision. And then 1234 are the relative short list, but they all have like they all have like hiccups. But it's it's so far like the four. Those are the ones we've gone far the furthest in terms of brainstorming.",
"OK, OK.",
What about? I just thought of it. And then I left my mind.,
Do you think that you guys are and we all are too tired to function?,Concern about health
"Too tired like function. Yeah, no feedback.",
Yeah,
I am,
"It feels more unproductive than anything, even though we're like staying up for this?",
What do we do instead?,Facilitation
Good question. I think we just take an idea and roll with it,Individual process suggestion
"Like, yeah, OK, the colors, the thing was kind of cool. I think I like that. What do you guys think? Also the.",Individual preference of idea
Answer and now.,
"We just have to detect a person and their skin tone. Based on some data, I guess it would recommend some things to wear, colors to wear.",
"And then based on that skin tone, it would have some data based on like what would would be suitable for it, so.",
You could also have multiple layers like what clothing would also suit that.,
But it's color theory like the computer vision implementation is color theory. So you remember,
OK.,
"what I said earlier, if you want to add what kind of? We'd have to also another body type.",
"Yeah, body type.",
"So in detect person, we can. Just add that as another thing to the. But we'd have to either find the library orjenkingly make that up. So it could be the two. So like once we know how to make which colors you can add what.",
"I've heard this is the. Baseline and like. You don't want and you know what I mean. And then if you wish to. Refine it. Yeah. Yeah, yeah. No, not question of. How do we detect the person and how do we determine this color and how? Do we? Assign it. You know what I mean?",
First question I want to ask. Is does VM do it? Like does it do it for us already?,Sponsor
Good point,
You mentioned like.,
I don't determine it can detect.,
"We can use this for the detection, but determining the skin color we can like it detects you right? What data does it extract from us? Do you know (to Speaker 2)?",Asking for clarification
Not sure.,
"Sponsors are here until one, so if. If we collect all of our questions, they might be downstairs at their booth",Sponsor
"But I thought. If we use this, it would probably be like a web-based app. I don't see how VM would fit in. They have physical, physical robotics.",
"Wait, what does VM do?",
VM is physical robotics,
"Ah, So what other library open TV? Something like that. Something a little more out-of-the-box that does people instead of just like, does algorithms? OK so. To do: find libraries. What else?",Facilitation
Where's my laptop? Let me just google this,
"Because I think everyone should also just make an account, not miss an account. But that post like sign up for the hackathon and then get added and then we can make a GitHub repo and then. Yeah, add everyone and then figure out how we want to merge code and stuff and then go from there, yes. And then divide and conquer. What task do you want to do?",Team process clarification
I'll make a repo. We want to call it. Right. What? What names do you want? What name do you want to call this? With this project,Project selected and named
I haven't thought about it,
[Project name]?,
Yeah sure,
[Project name] pretty cool.,
I'm just going to put that as a repo name for now.,
I kind of like [project name],
"I will write it the american way, without the U -- color",
And then I'll send this in our slack channel.,
"But if you guys want to send your emails and I'll add, yeah.",
On the slack?,
Where do you want? Our emails.,
On slack. And then I think so you're both post e-mail and you could have. E-mail they're different.,
Like I just want like I want to add both.,
We're all little bit dead though. I'm tired.,Fatigue
"Yeah, Me too. Me too",
Late night is not good.,
"Yeah, OK, cool.",
"Wait Speaker 3, Is your is that for both? The post and.",
Yeah,
I will send you invites with that post,
Set collaborators. So everyone. Wait Speaker 2 do you have your e-mail?,
"Oh yeah, sorry.",
"Yeah, if you can send that. I added everyone to GitHub I think.",
This might be a difficult project because skin tone is like people write papers on this shit.,Difficulty or challenge of idea
"I mean, we could just do like a scale or something like.",Scoping
"True, like a proof of concept",
"Yeah, like, it doesn't have to be like, you know, it doesn't have to be research level detail.",
Okay,
Okay cool,
I think I'm going to find where did you guys find the sleep place right?,
"So building E6. 3rd floor and then you take the bridge to E6. And there's also a a space on the 6th floor, but I think the building is better because they have at least they told us mattresses are there. And everything. So yeah, yeah. Let's get the.",
Call it quits after we get to the divide and conquer part because I'm yawning so hard I am crying,Fatigue
"No, fair enough.",
Right.,
"Actually guys, can I ask how serious we are about trying to compete versus trying to build something fun?",Defining team goal
"I'm purely building something for fun. OK, I'll be honest. This is my first hackathon I have no intention of winning and just exploring things right now, OK.",Individual goal to have fun
Cool. Yeah. What about you guys?,
"Yeah, none of the prizes are enough for me to lose sleep over.",Prizes
"Oh, I thought",
"Yeah, Speaker 4. Yeah. Trying to like, compete or just for fun.",
"Oh yeah, I think both answers are OK, I just want to know.",
"This one I'm down for whatever. Like if you guys are all competing, I'm competing, you know, I'm going with the flow.",Alignment of individual goal with team goal
Going with the flow. Do you want to compete?,
"Yeah, I kind of want to compete, I think. Right. But I don't want to force anybody. So I'm kind of like debating in my mind like what should I do right? Now, OK, yeah.",Individual goal to win
Do you have a win ratio yet? Do you have a win ratio yet?,Win ratio
"No, I'm trying to rack.",
"Okay, so that's why you wanna win",
"To win, yeah, also.",
It's either that you're trying to protect your ratio or you want to start your ratio.,
"Yeah, yeah. I don't want to, like, tell you guys later that ""I oh shit guys, I wish we should compete. And I just fucked up."" So yeah.",Alignment of individual goal with team goal
I need,
That's that's fair.,
Yeah. So.,
Thank you.,
OK.,
"I'll I'll probably try and think of ideas because I might stay up, so in case.",
"Now I think I think the idea is cool, it's just that it's very like good for learning, and not for the prize category. Yeah, which is fine. Like, it's totally fine. I'm thinking about it for myself now.",Alignment of project with team goal
Hmm,
"Yeah man, this is difficult",
"How was your workshop by the way, did you learn? Was your machine learning?",
"Honestly, no",
Why not?,
"Yeah, well, this is what, like it was, most of the stuff that I kind of knew like they just talked about data and why it's important and how you can get data. But just like. But I was really expecting sort of like practical stuff like, I don't know, maybe.",
Less basic.,
"Something we would do something so. It's OK though. I still went to check it out, which is nice.",
"Did you get because you know you get stickers? When you every time you go to a workshop, you can win a sticker like you know those.",
"Oh, the scavenger hunt thing. Completely forgot about that until now. It's cool. I'll go to another workshop.",
"Well, I got a couple of servos. OK. And the arduino. If we wanted to do something hardware, wait, let me see. How many do I get? I got. 1-2. OK, three servos, which is what we needed. And then our.",
"Oh, here's an idea. We can make an instrument using Arduino.",Topic generation
Right. What kind of instrument?,Asking for idea clarification
"Any instrument somehow I remember like  one of my friends we actually had this idea but we never did it. You can make like sounds based on like a a distance meter. So like that was one idea or like a flex sensor. So the more you flex it just increases the pitch, kind of like a theramin sort of but like just using sensors a bit. And it was produce sounds or something at least you produce music that way.",Explanation of an idea
"That's, I guess the more fun bit though, so.",
"That sounds pretty cool, yeah.",Validation of idea
What are we stuck on right now?,"Process, Facilitation"
"The thing is, I would love to do this, but I have no idea how we would go about it. Like I I I'm I have zero clue where to even start it's. It's pretty cool. But I don't know what where to start.",Apprehension
This is where we can start. And look up detecting skin tone on computer vision and we can either use this entire scale or part of this scale.,
OK.,
"And then like maybe like 1, 2, 3, 4, and call it a day. And then which colors match this? Which colors match this? Which colors? Which color?",
OK.,
"Yeah, you could just do an RGB value and calculate the difference between the patch of skin on someone's face and then calculate. Like how, how you know how far away is it? Like which one in which range would it be the closest to that's? OK. That's. Yeah, that's right, yeah.",
"So so OK, that's one. Right. We have one aspect of it which is…",
"Like the skin tone, like like the color so.",
Skin tones. Skin tone scale. We have the we have to detect the person in order to know that that's a skin tone patch that we can patch.,
"So the only concern I have is when detecting the person, I want to know like whether the camera or whatever it is that we're detecting, how is it able to like get that data? Like how are we going to get data from that camera when it sees something? yeah.",Asking for idea clarification
"Most likely using a library or else we'd have to do it from scratch,",Clarification of idea
That's what I'm saying. That's exactly right. Yeah. OK.,
"which is library,",
so that's part of the to do’s. We just pick which library does that the easiest.,
"And then which colors would probably have to look online somewhere? Like which ones probably have to do research on. Yes. Right. Like which which colors would match with that and we could create like a data set framework which gets that information from yes. That's quite literally it, right, like you would recommend.",
He said data set. Will we need something like a database?,Asking for clarification
For detecting a person?,
Any of it.,
I don't think we do.,
"If it's like, how would, how would you know what which colors? Based on the skin tone. Like where is it gonna get that information from?",
That that's that data is so tiny it doesn't even need to be in a database,
"That's what I mean. So like, OK, fine. Then it could just be quite literally an array or something, yeah.",
"No, it would just be a folder of images or something. You just load it as bytes.",
"Folder. Yeah. OK, so this.",
The reason why I asked is because would be the app list is a category.,
That could have been talking that.,
"Oh oh yeah. The amount of data we're going to be working with is so small. To the point where, like unless we’re doing something where, like perhaps we're like talking to the cloud and like storing the users data or something. I don't see why we would need to use it and mongoDB's focus is like low latency and like no SQL, so it's like.",
Mongo will do.,
"This focus is like low latency and like no no SQL, so it's like.",
Doesn't make much sense,
"Yeah. Like, maybe from a game development point, they actually have a lot of game development stuff.",
"That's basically this, but, so once we finish that like, that's the baseline then we can work on. Right.",
This one we forgot.,
"Oh, web interface.",
"Yeah, sure. OK.",
I wanna call dibs,Task allocation
"OK, OK.",
"Yeah, we can divide and conquer that I think. Whatever you guys, whoever wants to do that.",Task allocation
It it evenly splits into four.,
"I think do the research, but I guess.",Volunteering for task
"OK, you can pick I'm I'm OK with anything so.",
"yeah, same. I don't know, random.",
Random? Eenie meenie minie mo?,
What's his name? Cool. All right.,
"Oh, she already did it? Cool.",Task allocation
"Alright, am I getting your initials right?",
"I think so. No, we're both there you go.. Alright I am going to start coding right now",
Time to take a nap,Fatigue
I'm going to take a picture of this.,
You got a picture right there. From there you say the researchers are doing are scanning the whiteboard.,
"Honestly, like I think this is a cool baseline, but I would love to include like like version two. I feel like it be really cool like this could be like a lke a like a closet for the decider? Yeah. Like we could add layers to it after we did the baseline. Like maybe like I said, like based on the temperature. What should I wear or like based on I don't know body type, what what should I wear? Like what cloth item should I wear? Like a hoodie or shirt or maybe some? Trousers or like all like?",Expanding on idea
I think that.,
"All like combinations. You know what I mean? That would be. That would be really cool. The color is one thing, but then actually, knowing what you would wear is another thing.",
"So we should have a database of clothes, I guess, like different outfits or something.",
"Yeah, I can do research on that too.",
"I did. I have a database. Yeah. That I. Yeah, that I used for a project that I was doing for a professor and then, but I'm not sure if I can find it. I might be able to. And it. But it has, like thousands of codes in there, thousands of different.",
That's cool.,
Yeah. Yeah. Let me try to find it.,
I put your weather as V3.,
I think this would be cool. I like the idea a lot.,Validation of idea
"Yeah. Yeah, so.",
What do you guys think?,Checking in with others
"Yeah, that's good.",Validation of idea
Yeah. Doable. Very doable.,Feasibility of idea
"I mean, it's doable and it's pretty nice. It's like.",
"And and following our categories. If we demonstrate using ourselves, we got the wow factor done because of the skin tone because of our our two Vs, we got the technical solid with the originality.",Hackathon strategy
There you go.,
Pretty solid. I think it's pretty original.,
I think it's pretty cool I don't think a lot of people do it like on fashion. You know what I mean? So I think.,
"Design. I got that down Pat. OK, we have a solid shot.",Team goal to win
Uhm,Apprehension
"Depending on the pitch, we have a shot.",Hackathon strategy
Yeah,Apprehension
What don't you like about it?,Clarification
The technical bit or?,
